DOI,Year & Author,Mxene formula,Composition,Synthesis method,Layer No,Interlayer spacing (d),Flake Size,Porosity,Pore Diameter,Tortuosity,Electrode Thickness,Mass Loading,Electrolyte,SSA,Scan Rate,Current Density,Gravimetric Capacitance,Volumetric Capacitance,Areal Capacitance
10.1016/j.electacta.2017.03.073,2017; Lorencova et al.,Ti3C2Tx,"Ti3C2 with =O, -OH, -F surface terminations",HF etching (50 wt%) of Ti3AlC2 + DMSO intercalation + sonication (1 min),Multi-layer / delaminated; monolayer thickness 1.1 +/- 0.1 nm,"14.5 Ang (XRD, 2theta=6.09 deg, exfoliated); 9.28 Ang (2theta=9.52 deg, non-exfoliated)",123 +/- 7 nm (AFM),Not reported,Not reported,Not reported,7.8 +/- 0.8 nm (AFM film height),Not reported,0.1 M phosphate buffer pH 7.0 (aqueous),Not reported; real surface area 13.3 mm2 by Cottrell eq.,100 mV/s (CV),596 mA cm-2 mM-1 (H2O2 sensitivity at -500 mV),Not reported,Not reported,Not reported
10.1016/j.electacta.2017.03.073,2017; Lorencova et al.,oTi3C2Tx (oxidized),"Ti3C2 with increased =O/-OH, reduced -F; TiO2 domains on surface (F: 18.8% -> 3.8 at.%; Ti: 9.2% -> 4.4 at.% by XPS)","Electrochemical oxidation of Ti3C2Tx via LSV (0 to +500 mV, 100 mV/s) in 0.1 M PB pH 7.0",Multi-layer / delaminated (reduced thickness); monolayer thickness 0.9 +/- 0.1 nm,Not reported (no separate XRD for oxidized form; structure disrupted by oxidation),Not reported,Not reported,Not reported,Not reported,2.2 +/- 0.9 nm (AFM; decreased vs. pristine due to TiO2 dissolution),Not reported,0.1 M phosphate buffer pH 7.0 (aqueous),Not reported; Rq roughness 0.2 nm (vs. 1.6 nm for pristine) by AFM,100 mV/s (CV),330 mA cm-2 at -590 mV (ORR in 0.1 M H2SO4; inferior to pristine 500 mA cm-2),Not reported,Not reported,Not reported
10.1016/j.flatc.2018.01.001,2018; Wang et al.,Ti3C2Tx,"Ti3C2 with -F (trace), -OH, =O terminations; NaOH partially removes -F and intercalates Na+ between layers","HF etching of Ti3AlC2 (48% HF, 50°C, 24 h) followed by 1 M NaOH intercalation/exfoliation (24 h)",Multilayer (total thickness 2-5 µm by SEM),1.11 nm (HRTEM); c-lattice 23.15 Å (XRD 002 peak at 7.2°),Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1 M NaCl (aqueous),Not reported (lower than Ar-plasma sample; relative comparison in Fig. S2 only),2 mV s-1,Not reported,~100 F g-1 (approx. from Fig. 5c at 2 mV s-1),~300 F cm-3 (approx. from Fig. 5d at 2 mV s-1),Not reported
10.1016/j.flatc.2018.01.001,2018; Wang et al.,Ti3C2Tx (TiO2@Ti3C2Tx after plasma),Ti3C2 core (>200 nm depth) with TiO2 and amorphous carbon surface layer (~200 nm); -F terminals fully removed; -OH/=O increased,"HF etching → 1 M NaOH intercalation → Ar plasma (400 W, 650°C, 15 min, 10-4 mbar, 400 sccm Ar)",Few-layer (further delaminated vs NaOH sample; c-lattice 25.30 Å),1.23 nm (HRTEM); c-lattice 25.30 Å (XRD 002 peak),Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1 M NaCl (aqueous),Not reported (higher than NaOH sample; relative comparison in Fig. S2 only),2 mV s-1,Not reported,~200 F g-1 (approx. from Fig. 5c at 2 mV s-1),~550 F cm-3 (approx. from Fig. 5d at 2 mV s-1),Not reported
10.1088/0957-4484/27/17/172001,"2016, Yoon et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations",HF etching of Ti₃AlC₂ MAX phase,Multilayer (~10 layers average),20 Å,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1 M KOH; 1 M NaOH,>30 m² g⁻¹,Not reported,Not reported,Not reported,>350 F cm⁻³,Not reported
10.1088/0957-4484/27/17/172001,"2016, Yoon et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O; clay-like with intercalated water molecules",LiF/HCl etching (safer HF alternative),Multilayer; rolled into dense film,27–28 Å,Not reported,Not reported,Not reported,Not reported,Varies; packing density 2.2–3.8 g cm⁻³,Not reported,1 M H₂SO₄,Not reported,2 mV s⁻¹,Not reported,Not reported,900 F cm⁻³,Not reported
10.1088/0957-4484/27/17/172001,"2016, Yoon et al.",Ti₃C₂Tₓ / PVA composite,Ti₃C₂Tₓ with polyvinyl alcohol (PVA); zeta potential −39.5 mV,MXene/PVA nanocomposite via cationic polymer interaction,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,KOH,Not reported,2 mV s⁻¹,Not reported,Not reported,~500 F cm⁻³,Not reported
10.1088/0957-4484/27/17/172001,"2016, Yoon et al.",Ti₃C₂Tₓ / SWNT composite,Ti₃C₂Tₓ with single-walled CNTs as interlayer spacers,Alternating vacuum filtration of MXene and SWNT dispersion,Few-layer / delaminated MXene sheets,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not specified,Not reported,2 mV s⁻¹,5 A g⁻¹,Not reported,390 F cm⁻³ (MXene/SWNTs); 350 F cm⁻³ (MXene/CNTs),Not reported
10.1088/0957-4484/27/17/172001,"2016, Yoon et al.",Ti₃C₂Tₓ / rGO composite,Ti₃C₂Tₓ with reduced graphene oxide (rGO) as additive/spacer,Vacuum filtration of MXene/rGO dispersion,Delaminated / few-layer MXene,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not specified,Not reported,Not reported,Not reported,Not reported,435 F cm⁻³,Not reported
10.1016/j.electacta.2017.01.025,"2017, Lu et al.",Ti3C2Tx,"Ti3C2 with -OH, -F, =O terminations",HF chemical etching of Ti3AlC2,Multilayer (layered structure),9.5508 nm (XRD (002) peak),Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1 M KOH,8.2 m2/g (cited from Zhu et al. [28]),10 mV/s,1 A/g,66.4 F/g at 10 mV/s,Not reported,Not reported
10.1016/j.electacta.2017.01.025,"2017, Lu et al.",Ti3C2Tx,"Ti3C2Tx with TiO2 nanoparticles (anatase, 40-70 nm)","In situ hydrothermal oxidation at 180°C, 24 h, pH 0.5",Layered (retains Ti3C2Tx structure),9.6651 nm (XRD (002) shifted to lower angle after oxidation),Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1 M KOH,"15.5 m2/g (BET, N2 adsorption-desorption)",10 mV/s,1 A/g,99.7 F/g at 10 mV/s,Not reported,Not reported
10.1016/j.electacta.2017.01.025,"2017, Lu et al.",Ti3C2Tx,"Ti3C2Tx with TiO2 nanoparticles and PANI nanoflakes; XPS confirms Ti-C, TiO2, quinoid imine (-N=), benzenoid amine (-NH-) groups","Hydrothermal oxidation (180°C, 24 h) + in situ oxidative polymerization of aniline with APS at 0-2°C, 6 h",Hierarchical layered (thicker than pristine Ti3C2Tx due to PANI loading),Not reported (ternary d-value not stated explicitly),PANI nanoflakes: tens of nm; TiO2 nanoparticles: 40-70 nm (SEM/TEM),Not reported,"4, 7, 17, 32 nm (four BJH peaks; mesoporous)",Not reported,Not reported,Not reported,1 M KOH,"36.3 m2/g (BET, N2 adsorption-desorption)",10 mV/s,0.5 A/g,188.3 F/g at 10 mV/s (CV); 108.9 F/g at 0.5 A/g (GCD),Not reported,435.4 mF/cm2 at 0.5 A/g
Not reported,"2019; Habib, I.",Ti₂CTₓ,"Ti₂C with –F, =O, –OH surface terminations; O-dominant over F","LiF/HCl etching of Ti₂AlC MAX phase; 40–45°C, 96 h",Multilayer,6.86 ± 0.5 and 6.43 ± 0.2 Å (two (002) peaks at 2θ = 7.5° and 8°),Not reported,Not reported,Not reported,Not reported,Not reported,3.28 ± 0.005 mg (total electrode on 12 mm carbon paper; not area-normalised),1 M H₂SO₄ (aqueous),18 ± 0.2 m² g⁻¹ (BET measured),5–200 mV s⁻¹,0.25–5 A g⁻¹,103.98 ± 0.16 F g⁻¹ at 0.25 A g⁻¹ (2-electrode symmetric T-type Swagelok),Not reported,Not reported
Not reported,"2019; Habib, I.",Ti₂CTₓ/OLC (5 wt%),"Ti₂C with –F, =O, –OH terminations; 5 wt% OLC (partially graphitised sp² carbon, synthesised at 1300°C)","LiF/HCl etching of Ti₂AlC + OLC mixed 95:5 (MX:OLC) in NMP, sonicated 4 h, vacuum dried",Multilayer; OLC intercalated between layers (confirmed by Raman and XPS),Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,3.04 ± 0.005 mg (total electrode on 12 mm carbon paper; not area-normalised),1 M H₂SO₄ (aqueous),37 m² g⁻¹ (estimated upper bound from OLC weight fraction; not measured),5–200 mV s⁻¹,0.25–5 A g⁻¹,147.71 ± 0.24 F g⁻¹ at 0.25 A g⁻¹ (2-electrode symmetric T-type Swagelok),Not reported,Not reported
Not reported,"2019; Habib, I.",Ti₂CTₓ/OLC (10 wt%),"Ti₂C with –F, =O, –OH terminations; 10 wt% OLC (partially graphitised sp² carbon, synthesised at 1300°C)","LiF/HCl etching of Ti₂AlC + OLC mixed 90:10 (MX:OLC) in NMP, sonicated 4 h, vacuum dried",Multilayer; OLC intercalation confirmed by Raman,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,3.28 ± 0.005 mg (total electrode on 12 mm carbon paper; not area-normalised),1 M H₂SO₄ (aqueous),55 m² g⁻¹ (estimated upper bound from OLC weight fraction; not measured),5–200 mV s⁻¹,0.25–5 A g⁻¹,91.53 ± 0.14 F g⁻¹ at 0.25 A g⁻¹ (2-electrode symmetric T-type Swagelok),Not reported,Not reported
10.1002/smll.201804732,"2019, Zhang et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations","MILD (LiF/HCl etching of Ti₃AlC₂ at 35°C, 24h)",Delaminated (few-layer),39.3 Å (from SAXS (002) peak; expanded due to PEDOT:PSS intercalation),"~1.3 µm (lateral width, AFM)",Not reported,Not reported,Not reported,Not reported,Not reported,1 M H₂SO₄ (3-electrode); PVA/H₂SO₄ gel (FSC device),Not reported,5 mV s⁻¹,2 A cm⁻³,"~400 F g⁻¹ (at 5 mV s⁻¹, from Fig. 3d)","614.5 F cm⁻³ (at 5 mV s⁻¹, 3-electrode)",Not reported
10.1002/smll.201804732,"2019, Zhang et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations","MILD (LiF/HCl etching of Ti₃AlC₂ at 35°C, 24h)",Delaminated (few-layer),~39.3 Å (SAXS (002) peak at same qy = 0.16 Å⁻¹ as M7P3),"~1.3 µm (lateral width, AFM; same MXene source)",Not reported,Not reported,Not reported,Not reported,Not reported,1 M H₂SO₄ (3-electrode),Not reported,5 mV s⁻¹,Not reported,Not reported,Not reported (trend shown in Fig. S7c only),Not reported
10.1002/smll.201804732,"2019, Zhang et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations","MILD (LiF/HCl etching of Ti₃AlC₂ at 35°C, 24h)",Delaminated (few-layer),Not reported,"~1.3 µm (lateral width, AFM; same MXene source)",Not reported,Not reported,Not reported,Not reported,Not reported,1 M H₂SO₄ (3-electrode),Not reported,5 mV s⁻¹,Not reported,Not reported,Not reported (trend shown in Fig. S7c; lowest among MxPy fibers),Not reported
10.1002/smll.201804732,"2019, Zhang et al.",N/A (pure PEDOT:PSS reference),"Poly(3,4-ethylenedioxythiophene):polystyrene sulfonate (PH1000, ~12 mg mL⁻¹)",Wet-spinning into H₂SO₄ coagulation bath; no MXene,N/A (polymer fiber),"3.4 Å (d(010) π–π stacking of PEDOT thiophene rings, WAXS)",N/A (polymer; not applicable),Not reported,Not reported,Not reported,Not reported,Not reported,1 M H₂SO₄ (3-electrode),Not reported,5 mV s⁻¹,Not reported,Not reported,74.6 F cm⁻³ (at 5 mV s⁻¹; reference baseline),Not reported
10.1016/j.jallcom.2018.11.172,"2019, Wang et al.",Ti3C2Tx,"Ti3C2 with -O, -OH, -F terminations",LiF/HCl etching + delamination,Delaminated (few-layer),24.4 Å,200 nm – 2 µm,Not reported,Not reported,Not reported,Not reported,2.31 mg cm⁻²,1 M H2SO4,Not reported,2 mV s⁻¹,8 mA cm⁻²,218 F g⁻¹,Not reported,506 mF cm⁻²
10.1016/j.jallcom.2018.11.172,"2019, Wang et al.",Ti3C2Tx/PDA-2,Ti3C2Tx + 2 wt% polydopamine,In situ oxidation polymerization of DA on Ti3C2Tx,Delaminated + PDA intercalated,28.9 Å,200 nm – 2 µm,Not reported,Not reported,Not reported,Not reported,2.35 mg cm⁻²,1 M H2SO4,Not reported,2 mV s⁻¹,8 mA cm⁻²,220 F g⁻¹,Not reported,517 mF cm⁻²
10.1016/j.jallcom.2018.11.172,"2019, Wang et al.",Ti3C2Tx/PDA-5,Ti3C2Tx + 5 wt% polydopamine,In situ oxidation polymerization of DA on Ti3C2Tx,Delaminated + PDA intercalated,31.1 Å,200 nm – 2 µm,Not reported,Not reported,Not reported,Not reported,2.58 mg cm⁻²,1 M H2SO4,Not reported,2 mV s⁻¹,8 mA cm⁻²,238 F g⁻¹,Not reported,614 mF cm⁻²
10.1016/j.jallcom.2018.11.172,"2019, Wang et al.",Ti3C2Tx/PDA-10,Ti3C2Tx + 10 wt% polydopamine,In situ oxidation polymerization of DA on Ti3C2Tx,Delaminated + PDA intercalated,35.5 Å,200 nm – 2 µm,Not reported,Not reported,Not reported,12.6 µm,2.75 mg cm⁻²,1 M H2SO4,Not reported,2 mV s⁻¹,8 mA cm⁻²,260 F g⁻¹,Not reported,715 mF cm⁻²
10.1016/j.nanoen.2017.06.009,2017; Wen et al.,Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F terminations; 15.5 at.% F, 27.1 at.% O","HF etching of Ti₃AlC₂ (50 w/w%, 3 h, RT)",Multilayer,0.96 nm,Not reported,Not reported,Not reported,Not reported,Not reported,3–4 mg cm⁻²,1 M H₂SO₄ / 1 M MgSO₄,Not reported,1 mV s⁻¹,Not reported,34 F g⁻¹ (H₂SO₄); 52 F g⁻¹ (MgSO₄),Not reported,Not reported
10.1016/j.nanoen.2017.06.009,2017; Wen et al.,N-Ti₃C₂Tₓ,"Ti₃C₂ with N at C sites; –OH, –F terminations; 1.7 at.% N, 13.5 at.% F","NH₃ annealing of HF-etched Ti₃C₂Tₓ at 200°C, 2 h, 100 ml/min",Multilayer,1.23 nm,Not reported,Not reported,Not reported,Not reported,Not reported,3–4 mg cm⁻²,1 M H₂SO₄ / 1 M MgSO₄,Not reported,1 mV s⁻¹,Not reported,192 F g⁻¹ (H₂SO₄); 82 F g⁻¹ (MgSO₄),Not reported,Not reported
10.1016/j.nanoen.2017.06.009,2017; Wen et al.,N-Ti₃C₂Tₓ,"Ti₃C₂ with N at C sites; 3.4 at.% N, 8.7 at.% F, 2.4 at.% Al (residual)","NH₃ annealing of HF-etched Ti₃C₂Tₓ at 300°C, 2 h, 100 ml/min",Multilayer,1.21 nm,Not reported,Not reported,Not reported,Not reported,Not reported,3–4 mg cm⁻²,1 M H₂SO₄ / 1 M MgSO₄,Not reported,1 mV s⁻¹,Not reported,45 F g⁻¹ (H₂SO₄); 64 F g⁻¹ (MgSO₄),Not reported,Not reported
10.1016/j.nanoen.2017.06.009,2017; Wen et al.,N-Ti₃C₂Tₓ,"Ti₃C₂ with N at C sites; 8.1 at.% N, 6.3 at.% F, 5.1 at.% Al (residual)","NH₃ annealing of HF-etched Ti₃C₂Tₓ at 500°C, 2 h, 100 ml/min",Multilayer (densely packed),0.96 nm,Not reported,Not reported,Not reported,Not reported,Not reported,3–4 mg cm⁻²,1 M H₂SO₄ / 1 M MgSO₄,Not reported,1 mV s⁻¹,Not reported,20 F g⁻¹ (H₂SO₄); 10 F g⁻¹ (MgSO₄),Not reported,Not reported
10.1016/j.nanoen.2017.06.009,2017; Wen et al.,N-Ti₃C₂Tₓ,"Ti₃C₂ with heavy N substitution; 20.7 at.% N, 0 at.% F; partial TiN phase transformation","NH₃ annealing of HF-etched Ti₃C₂Tₓ at 700°C, 2 h, 100 ml/min",Multilayer (amorphous/densely packed),Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,3–4 mg cm⁻²,1 M H₂SO₄ / 1 M MgSO₄,Not reported,1 mV s⁻¹,Not reported,10 F g⁻¹ (H₂SO₄); 13 F g⁻¹ (MgSO₄),Not reported,Not reported
10.1016/j.jallcom.2017.09.256,"2017, Wu et al.",Ti3C2Tx,"Ti3C2 with -O, -OH, -F surface terminations","MILD etching (LiF/HCl, 35°C, 48 h), vacuum filtration to free-standing paper","Multilayer, delaminated nanosheets",29.4 Å (c-lattice); (002) peak at 2θ=6.0°,Not reported,Not reported,Not reported,Not reported,~6 µm,Not reported,1 M KOH (aqueous),Not reported,2 mV s⁻¹,10 A g⁻¹,84.4 F g⁻¹ (at 2 mV s⁻¹),295.4 F cm⁻³ (at 2 mV s⁻¹),Not reported
10.1039/c7ta05721k,"2017, Xu et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations; combined with rGO (GO:MXene = 3:1 w/w)","HF etching of Ti₃AlC₂ (50% HF, 60°C, 24h); vacuum-assisted filtration of GO/Ti₃C₂Tₓ dispersion; thermal reduction at 300°C under vacuum",Multilayer (partially delaminated to few-layer after ultrasonication),0.985 nm (HRTEM c-axis; (002) XRD peak at 2θ=8.8°),Not reported,Not reported,"~3 µm (BJH method, N₂ desorption isotherm)",Not reported,8 µm (micrometer caliper; ~10 µm by optical microscope),~2 mg cm⁻²,"6 M KOH (aqueous, 3-electrode); PVA/KOH gel (solid-state SC)",269.3 m² g⁻¹ (BET),20 mV s⁻¹,1 A g⁻¹,405 F g⁻¹ at 1 A g⁻¹ in 6 M KOH,370 F cm⁻³ at 0.92 A cm⁻³; 206 F cm⁻³ at 9.2 A cm⁻³,Not reported
10.1039/c7ta05721k,"2017, Xu et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations; combined with rGO (GO:MXene = 1:1 w/w)","HF etching of Ti₃AlC₂ (50% HF, 60°C, 24h); vacuum-assisted filtration; thermal reduction at 300°C under vacuum",Multilayer,0.985 nm (same MXene phase; (002) peak preserved after reduction),Not reported,Not reported,Not reported,Not reported,~8 µm (same filtration process),~2 mg cm⁻²,6 M KOH (aqueous),Not reported,20 mV s⁻¹,Not reported,Not reported,Not reported,Not reported
10.1039/c7ta05721k,"2017, Xu et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations; combined with rGO (GO:MXene = 2:1 w/w)","HF etching of Ti₃AlC₂ (50% HF, 60°C, 24h); vacuum-assisted filtration; thermal reduction at 300°C under vacuum",Multilayer,0.985 nm,Not reported,Not reported,Not reported,Not reported,~8 µm,~2 mg cm⁻²,6 M KOH (aqueous),Not reported,20 mV s⁻¹,Not reported,Not reported,Not reported,Not reported
10.1039/c7ta05721k,"2017, Xu et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations; combined with rGO (GO:MXene = 4:1 w/w); excess rGO causes aggregation","HF etching of Ti₃AlC₂ (50% HF, 60°C, 24h); vacuum-assisted filtration; thermal reduction at 300°C under vacuum",Multilayer,0.985 nm,Not reported,Not reported,Not reported,Not reported,~8 µm,~2 mg cm⁻²,6 M KOH (aqueous),Not reported,20 mV s⁻¹,Not reported,Not reported,Not reported,Not reported
10.1039/c7ta05721k,"2017, Xu et al.",Ti₃C₂Tₓ,"Ti₃C₂ with –OH, –F, =O terminations; no rGO binder; cast on Ni foam with acetylene black + PVDF","HF etching of Ti₃AlC₂ (50% HF, 60°C, 24h); powder coated on Ni foam with PVDF binder",Multilayer (accordion-like structure from SEM),0.985 nm (HRTEM c-axis),Not reported,Not reported,Not reported,Not reported,Not reported,~2 mg cm⁻²,6 M KOH (aqueous),Not reported,20 mV s⁻¹,1 A g⁻¹,45 F g⁻¹ at 1 A g⁻¹,Not reported,Not reported
10.1039/c7ta05721k,"2017, Xu et al.",Ti₃C₂Tₓ,rGO + Ti₃C₂Tₓ physically mixed at 3:1 w/w; with PVDF binder; cast on Ni foam,Physical mixing of rGO and Ti₃C₂Tₓ powders; coated on Ni foam with acetylene black + PVDF binder,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,~2 mg cm⁻²,6 M KOH (aqueous),Not reported,20 mV s⁻¹,1 A g⁻¹,Not reported,Not reported,Not reported
10.1016/j.cej.2017.02.144,"2017, Xu et al.",Ti3C2Tx,"Ti3C2 with -OH, -F, =O terminations",HF etching + DMSO intercalation + ultrasonic delamination; modified EPD (MEPD) on nickel foam,Few-layer (<5),Not reported,Not reported,Not reported,~4 nm,Not reported,Not reported,0.53 mg cm-2 (1.2 mg total),1 M KOH,30.93 m2 g-1,5 mV s-1,0.5 A g-1,140 F g-1,Not reported,74 mF cm-2
10.1016/j.cej.2017.02.144,"2017, Xu et al.",Ti3C2Tx,"Ti3C2 with -OH, -F, =O terminations",HF etching + DMSO intercalation + ultrasonic delamination; modified EPD (MEPD) on nickel foam,Few-layer (<5),Not reported,Not reported,Not reported,~4 nm,Not reported,Not reported,1.47 mg cm-2 (3.3 mg total),1 M KOH,30.93 m2 g-1,5 mV s-1,0.5 A g-1,127 F g-1,Not reported,186 mF cm-2
10.1016/j.cej.2017.02.144,"2017, Xu et al.",Ti3C2Tx,"Ti3C2 with -OH, -F, =O terminations",HF etching + DMSO intercalation + ultrasonic delamination; modified EPD (MEPD) on nickel foam,Few-layer (<5),Not reported,Not reported,Not reported,~4 nm,Not reported,Not reported,1.78 mg cm-2 (4.1 mg total),1 M KOH,30.93 m2 g-1,5 mV s-1,0.5 A g-1,120 F g-1,Not reported,214 mF cm-2
10.1016/j.cej.2017.02.144,"2017, Xu et al.",Ti3C2Tx,"Ti3C2 with -OH, -F, =O terminations",HF etching + DMSO intercalation + ultrasonic delamination; modified EPD (MEPD) on nickel foam,Few-layer (<5),Not reported,Not reported,Not reported,~4 nm,Not reported,Not reported,2.13 mg cm-2 (4.8 mg total),1 M KOH,30.93 m2 g-1,5 mV s-1,0.5 A g-1,115 F g-1,Not reported,246 mF cm-2
